District,WorkOrderNum,DeviationName,DeviationShort
JEDDAH,2521001664,PEDESTRIAN PASSES PLACED EVERY 100M IN FRONT OF CUSTOMER HOUSES AS REQUIRED,Pedestrian passes placed every 100m
JEDDAH,2521001664,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
JEDDAH,2521001665,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
RIYADH,2511004882,MUNICIPALITY PERMITS ARE VALID AND RENEWED AS REQUIRED?,Municipality permits valid
JEDDAH,2521001667,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
JEDDAH,2521001667,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
JEDDAH,2521001667,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
JEDDAH,2521001663,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
JEDDAH,2521001666,PEDESTRIAN PASSES PLACED EVERY 100M IN FRONT OF CUSTOMER HOUSES AS REQUIRED,Pedestrian passes placed every 100m
JEDDAH,2521001663,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
JEDDAH,2521001979,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
JEDDAH,2521001979,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
JEDDAH,2521001979,"ALL DAMAGE TO PROPERTY (TILES, CURBS, WALLS, ASPHALT) HAS BEEN REPAIRED TO ORIGINAL STATE OR AS PER CUSTOMER REQUEST AT WORK COMPLETION ?",Damage repaired to original state
JEDDAH,2521001664,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
JEDDAH,2521001663,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
JEDDAH,2521001663,PEDESTRIAN PASSES PLACED EVERY 100M IN FRONT OF CUSTOMER HOUSES AS REQUIRED,Pedestrian passes placed every 100m
JEDDAH,2521001663,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
